domain,citizen_sentiment_index,policymaker_support_index,raw_intensity_count,readiness_index,economic_pressure_index,regulation_intensity_index,citizen_policymaker_gap,policymaker_action_gap,citizen_action_gap,domain_alignment_score,policy_lag_score,cluster_id,archetype,is_anomaly,historical_growth_rate,growth_index,momentum_index,momentum_classification,early_warning
Privacy,85.15,79.72972972972973,185,50.0,59.99999999999999,17.978620019436345,5.420270270270279,61.75110971029338,67.17137998056366,55.21908001295756,42.02137998056364,0,Severe Disconnect,True,2.083333333333334,100.0,81.03,High Priority (Accelerating),False
Social,50.0,56.5625,160,40.0,65.00000000000001,15.54907677356657,6.5625,41.01342322643343,34.45092322643343,72.65771784904437,49.450923226433446,1,Moderately Misaligned,False,2.0714285714285725,99.60784313725492,75.84313725490198,High Priority (Accelerating),False
Employment,47.45,11.11111111111111,126,59.999999999999964,90.00000000000004,12.244897959183673,36.33888888888889,1.133786848072562,35.20510204081633,75.77407407407408,77.75510204081637,2,Highly Aligned,False,0.6969696969696969,54.331550802139034,67.22262032085564,High Priority (Accelerating),False
Other,60.333333333333336,68.27016520894072,1029,50.0,50.0,100.0,7.936831875607389,31.729834791059275,39.66666666666666,73.55555555555556,-50.0,0,Severe Disconnect,True,0.5999999999999994,51.137254901960766,52.52156862745098,Medium Priority (Steady),False
Legal/Governance,62.175,71.98581560283688,141,54.99999999999999,50.0,13.702623906705538,9.810815602836882,58.28319169613134,48.47237609329446,61.14453886924577,36.29737609329446,0,Severe Disconnect,False,0.3666666666666667,43.450980392156865,49.81539215686275,Medium Priority (Steady),False
Technology,58.1,50.0,177,79.99999999999999,70.0,17.20116618075802,8.100000000000001,32.79883381924198,40.89883381924199,72.73411078717201,52.79883381924198,1,Moderately Misaligned,False,-0.5030303030303028,14.802139037433172,45.54085561497327,Low Priority (Cooling/Stable),False
Economic,55.85,50.0,81,75.0,84.99999999999997,7.871720116618077,5.850000000000001,42.12827988338192,47.97827988338192,68.01448007774539,77.1282798833819,1,Moderately Misaligned,False,-0.9523809523809529,0.0,45.169999999999995,Low Priority (Cooling/Stable),False
